textID,text,tailwiz_label
643381ff9d,haha. i love you too aimeeeeeee!,positive
f1660e689c, thank you! It`s sunny outside so that`s a good start,positive
bcaad4a070, You`re welcome.,positive
04bcfe8493,"Yeah, my brain does rock!  I am happy to share my knowledge with you Carrie",positive
59fa0bb3bf, bugger didn`t know that  shame people have to stick there nose in!,negative
b0ca69014c, Thanks for trying! Done just that and no good  If I can`t fathom it I`ll take it to Apple Store. Sigh...,negative
d92bd9e860,I lost count   sorry I let u down...,negative
8b9c2a5e50,listening to music  was kostet der fisch ?! xD my mathsteacher has choose the wrong job... that`s wrong grammar but a real fact !!,negative
17aeaef146,"Going to be buckling down this week. So, relief for my twitter followers from my inanity. Enjoy my silence.",positive
b931353754,"'NAPPY`S' da new 'N' word....by da way, iLove my 'NAPPY' braids  iGot 'HANG-TIME' homie lol",positive
1f6a94f173, hey ive seen the musical live its funny lol,positive
83388c9647, I`m afraid your comments on MP`s expenses were hopelessly out of touch with the average person average salary. V.insensitive,negative
5a24827c24, I think it`s less of a tribute and more of a parody.,negative
5f02451f6e, glad you liked the gmail add-on too. We visual people like the asthetics to be right don`t we.,positive
11084dac09, it is ****...u have dissappointed me that past few days,negative
bf6271be1d,Decode by Paramore is a great song... Love it...,positive
7a36fca205," it`s an awesome book, can`t wait for the film - enjoy and don`t be scared  x",positive
caa8d94c9a,"i feel really sick, and my teeth still hurt.  fml.",negative
8a1de68223,Best show of my life. Guess I`m going to sc this week,positive
7e556552b3,"_Paradise Hi Dale, your welcome man! Hope ur weekend is going well. I think I would enjoy your Desert Paradise! fun, fun, fun!",positive
5089a80d71, i have a weird subconscience. i wonder who will i dream next,negative
93755df0f2,Is going to have one upset daughter  in a bit..mr. Rat took a sudden turn for the worse and didn`t make it,negative
5e4e914e8c," im kinda tired enough to sleep, but 'Migrate' has got me up singing along, haha",positive
001b0e9abe,she made my sister cry too hahah. bless her.  i hope she can do it again.,positive
9892bfc39c,_**** it was indeed  made my life!,positive
4ed0e12e72, **** i always miss it,positive
ec1c6989b0,"watered the tomato plants, pepper plants and lettuce, feeling all homely! off out with Freddie for a fun-packed day",positive
c339569822, thanks :0 I will try,positive
140680ab2c,I can`t figure out the empire puzzle.  Stuck at 36,negative
3d890a18aa,FREE FREE FREE- just a pesky registration but after that  ENJOY http://bit.ly/rlQGu,negative
db01f598c2,Sad because i cant go over my friends house,negative
1823b30898, im sorry. i dont wanna cuz of how u act. u just turn right around and ignore me and all that,negative
95c4060084," it`s not the 10.5% so much as the A)Sugar and B)Taste ... lord that`ll put ya down, and not in the fun way",negative
8ef0d123f7, I am pretty sure that`s the sort if tweeting that will lose followers. But stuff it- it was well worth it,positive
385bb6094d," what is I/O psy? I`m taking psy101 starting this Monday, not looking forward to going back to school but",negative
5b8c529f3c,He brings SOOO much joy!! Show it!!  great song! ? http://blip.fm/~5z3oq,positive
b0156e8928, I feel like I haven`t talked to you in a really really long time.,negative
baec66304d,Sitting by myself. Everyone took the good seats.,positive
9855a6c0a2,**** being drunk and hot sucks,negative
b2ca62930b,"Incase I forget, Happy Mother`s Day to all you moms out there, and to my mommy. The very best one in the world",positive
d8ffeb6591,"Why does #googledocs do folders, instead of labels like #gmail? I kind of like labels",positive
60da5f7f30," ROFLMFAO!!!! You love us better, don`t you!",positive
edd0fa3494,okay okay sleep for realz now! Goodnight!  ::waves to followers::,positive
7ba6fb6ba2,Finally out of school for today! HAD TO SIT IN LIBRARY FOR A LONG TIME,negative
1323765761,Feeling pretty tired and lonely,negative
7c19923323, Congrats on the Invisalign! I need to get refitted for mine - I got lazy and stopped wearing them.,positive
2d0804d041,"has just come back from horse riding, what a brilliant day",positive
a29575e37b,"OK, a few days old, but I love `s diagram of the mainstream adoption curve http://is.gd/ufIg . 'Everyone is doing it'   ...  !",positive
f227d3770a,"It is so miserably hot, the a/c in my house is broken",negative
fa2654e730,Chilliin,negative
713aae7489,i hate not being able to twitterize on my cell phone  oh well,negative
67a06b149b,Hmmm.... My whole body feels sore!,negative
cf6cc32d31,well going to sleep peoples!! night all twitterers!! loves ya!  *Welcome Home*,positive
a455c0507b,I wanna go to the extra show really bad,negative
cf0256169d, but cover your sneezes with a tissue for love of God! My germaphobe-ness has significantly increased since joining healthcare,negative
692c77cc63, you really have to come to ireland some time! we love you over here <3,positive
e41986b2d9,is missing someone.. haayy..  http://plurk.com/p/x2avn,negative
c3ed2cd6ff,http://snipurl.com/hq0n1 Just printed my mom an Amazon gift card  for Happy Mothers Day talk about last minute.,positive
adebad3529,  hope your day gets better soon!!,positive
98f44b08d5,You said you effed up your nose!,negative
6bb61f0267," Good Morning, good wakeup music",positive
d61916f215,_R_Roberts I LOOK forward to seeing and sharing,positive
0b9683bd22,"deleted a lott of facebook friends, ask to be my friend again if you want. if not idgaf",negative
930c68e04f, thank u,positive
f7637933f3,(L) ice grande half-sweet French vanilla soy milk from Starbucks means summaa`s coming !!!,positive
4bb594fa0d,school is so pointlesss. seriously though. 7 days of school left and all we do is watch movies and make powerpoints. let me leaveeee,positive
eebfa4d683,Even ARNOLD couldn`t save the parks  http://bit.ly/WSM5J  - How is this providing jobs?,negative
53524ebfd6," Ha, yea you are so not allowed days of rest, way too many interesting ideas to incorporate into tweetdeck",positive
562ff532c7,Okay I lied! I meant this time next week! That is sooo much longer!!  I miss my mommy...,negative
5f12e0bb1a, sorryyy milerz that i can`t vote i would love to vote but it doesn`t works i`m sad  and very frustraded  :@ :@ --__--,negative
949519175d, ii DON`T HAVE ANY EiTHER,negative
bcd73a9aa7,On the bus goin 2 work but omg seriously im sooooo tired dont know if i`ll survive the 8 hour shift,negative
92ca5583bf,Off to England during the summer holidays this year.... yay!,positive
62435506e2,today was the BEST <3 eff yeah i <3 ,negative
2489e8afd3, I might give it another go.,negative
973aaf622e," Awwh....well at least you are up top, where the magic happens!  Today will be a good day, no worries.",positive
2e21b2daea,"Well, enough mushy family talk. To bed I stubbornly go.",negative
03ff7b5de5, I`m so mad I cant go to that...you`re like an hour away from me.,negative
8519bcc3f1,I guess I am too freaky for followers.,negative
fafc1c85a5,"Hi Charlie, thank you for following me! Nice to know there`s another Ollmann in the new world...",positive
5810ccfe8c,I`m so dizzy already and I`m only on the third page of chapter 73  *plops head*,negative
5a1a796f9d,"****, I cut my finger!",negative
1ddcf18209,"lovely, my plans have been canceled for the night. another night home alone for me. un-yay",positive
c9d84326b4,_x3 you are too sweet girl!! My food was soooo good,positive
7907ced082, I like the last part in your methodology.,negative
927df40c50,drinking cordial  yes im bored,negative
4d4a420358,? MADAYA KA CHRISTIAN. BLEH!!! I HATE U  http://plurk.com/p/wy2yg,negative
66cf656e01," um, I think what I will miss the most is.. JAY LENO!!!!!!!!",negative
2de93005e9,Enjoying afternoon tea with my friends.. Cake delicacies equal sweet time,positive
47ac7fd547,why are matters of the heart so complicated?,negative
090e69990f, Hey guys! can i ask; what item did u guys put up for ur talent show? i am such a BIG fans of both of you! whoo!,positive
b855321530," Good stuff, Smiles back? Why won`t you go to his concert too? :o. Wish I could instead of doing my music which is failing  lol x",positive
abae918052,is getting ready for bed. Happy Mother`s Day to all the mothers out there!,positive
568d9404ec, you can explore the site 2 and find cool stuff,positive
76edbb1539,Happy Mothers Day to all Mom`s,positive
7d7f9dbe3a, yup - working away hard! Busy busy busy,negative
d93f7cc65a,aleesha`s piggy died  she can`t catch a **** break man,negative
65d3b53efa, welcome home babe!,positive
2f1cd44ea2, I didn`t want to tell you but I think it`s your body odour,negative
c4db821ee7,**** week all **** week  off to the gym now with the worst headache.,negative
a7995f1950,  no one told me the mutual admiration society was meeting this morning! LOL  Hi boys!,positive
0b99fb5cc2,boooo on life decisions....bottle of wine be my lucky eight ball tonight,positive
60b54035fc, glad u liked post  looking at the back end now...the sub 2 your blog is automatic. send url and i`ll verify.,positive
e6eb0f8e54,Ok that **** duet was hysterical LOL,negative
57251ae542,help! anyone know if there are stores that carry blackberry trackballs? just went to verizon retailer; no luck. do not want to order one,negative
449b7f8634,Spend a great time with family and friends. Thanks you guys,positive
32dc2d3da5,I have uncontrolable hic-ups right now that hurt,negative
cbf2c62757, hi my name is Chelsea and i respect your opinion when it comes to dwts. you were great on there too!,positive
c605755961, Well I *did* put in a good innings...sweared at the brother in law..was in fine form,negative
97dfbf0197, i wanted to go for my birthday...,negative
42d6ab8f4d,is having a quiet mothers day evening... happy mothers day to all the yummy mummies,positive
1c616859e0, You are too kind! I swear I`m always feeding someone!,negative
8ac81eb024, whahahah thank you,positive
65d1a890e3, haha yay We love you too Mr. Shane Dawson,positive
cb25bb10df," i saw the new cities last tuesday, amazing show! and won tickets for tomorrow`s show, but might not be able to make it",positive
e989780e68," my lil sister Charese, her best friend passed today",positive
11d1273747,Goodnight everyone  Happy Mothers Day to all of the mothers out there,positive
e275869bf6, Happy Anoop Day to you Monica,positive
2977d5122e,Dang I just dropped some of my subway on da floor... Ahh the 5sec rule passed already,negative
8435e8ac97, umm how abt a comment like that :p 'i dont like this',negative
0dbaca8e07, goood,negative
b64034dd8e, everyone loves u sarah not just the tweeters! the today show couldnt stop raving about your beautifulness...,positive
9d30f19fe0,has a terrible headache.  I need relief!,negative
46dcf0b66d, you could say that. I left it in VT and have been Blackberryless since Tuesday Night. I`m lost,negative
